"Filename",14_08082202.mzData,25_22.mzData,15_2210.mzData,16_11665.mzData,23_16.mzData,24_D8o822B4.mzData,22_13.mzData,32_09082201.mzData,39_07082204.mzData,11_Grupo_control_1.mzData,20_Grupo_control_1.mzData,33_51480.mzData,46_15.mzData,26_Grupo_control_1.mzData,36_Grupo_control_1.mzData,44_Grupo_control_1.mzData,38_21.mzData,41_20.mzData,48_51468.mzData,47_51467.mzData,50_Grupo_control_1.mzData,30_08082205.mzData
run_date,,,,,,,,,,,,,,,,,,,,,,
8305/51.0001mz/26.92min,217.0,105.0,170.0,226.0,140.0,142.0,217.0,209.0,154.0,479.0,487.0,1525.989013671875,201.0,481.0,550.0,612.0,154.0,1422.0,284.0,375.0,662.0,2663.0
14853/51.0004mz/42.75min,420.0,482.0,471.0,481.0,485.9985046386719,542.0,694.9947509765625,575.0,610.0,636.0,631.0,721.0,574.0,625.0,722.0,679.0,500.0,871.0,702.0,682.0,713.0,836.0
6558/51.0002mz/22.89min,201.0,135.0,298.0,412.0,199.0,228.0,634.0,375.0,212.0,439.0,500.0,1544.989013671875,174.0,417.0,471.0,494.0,298.0,786.0,201.0,279.0,495.0,1390.0
14941/51.0002mz/42.75min,420.0,482.0,471.0,481.0,486.0,542.0,695.0,575.0,610.0,635.9978637695312,631.0,721.0,574.0,625.0,722.0,679.0,500.0,871.0,702.0,682.0,713.0,836.0
14909/51.0004mz/42.75min,420.0,482.0,471.0,481.0,486.0,542.0,695.0,575.0,610.0,636.0,631.0,721.0,573.9952392578125,625.0,722.0,679.0,500.0,871.0,702.0,682.0,713.0,836.0
3086/51.0004mz/12.83min,252.0,92.0,161.0,174.0,142.0,108.0,166.0,207.0,193.0,628.0,646.0,242.0,134.0,605.9961547851562,668.0,743.0,607.0,1871.0,194.0,222.0,766.0,
1598/51.0101mz/7.11min,,422.9959411621094,,,,,,,,,,,,,,,,,,,,
1452/51.9789mz/6.65min,,,,,,,,,,,4006.96337890625,,,1699.6356201171875,,2760.781982421875,,,,,,
8038/51.9807mz/26.40min,,,,,,,,,,,1934.9853515625,,,,,,,,,,,
11015/51.9998mz/32.76min,116.0,87.0,86.0,127.0,97.0,76.0,102.0,110.0,110.0,162.0,169.0,140.0,126.0,175.0,204.0,223.0,71.0,,111.0,857.9810791015625,191.0,770.0
796/52.0000mz/5.15min,276.0,148.0,295.0,260.0,255.0,95.0,209.0,166.0,226.0,266.0,595.9923706054688,391.0,164.0,495.0,287.0,265.0,174.0,290.0,410.0,65.0,350.0,255.0
1679/52.0000mz/7.83min,212.0,124.0,247.0,527.0,159.0,340.0,175.0,180.0,2734.0,465.9973449707031,455.0,116.0,158.0,441.0,362.0,455.0,95.0,1724.0,255.0,150.0,,289.0
1687/52.0000mz/7.84min,138.0,124.0,222.0,527.0,159.0,,175.0,180.0,2734.0,,455.0,114.0,158.0,440.9962463378906,302.0,455.0,95.0,972.0,217.0,142.0,330.0,289.0
1909/52.0000mz/8.72min,210.0,78.0,90.0,143.0,110.0,71.0,108.0,94.0,105.0,162.0,127.0,734.0,105.0,143.0,170.0,183.0,98.0,265.0,116.0,110.0,175.0,348.0
1919/52.0000mz/8.83min,798.992919921875,89.0,106.0,89.0,102.0,60.0,102.0,142.0,118.0,178.0,154.0,153.0,90.0,158.0,198.0,,86.0,257.0,122.0,135.0,194.0,294.0
2084/52.0000mz/9.57min,330.0,118.0,266.0,,,132.0,,,,242.0,,519.0,212.0,383.0,407.0,298.0,236.0,505.0,598.9940185546875,167.0,471.0,
2482/52.0000mz/10.53min,153.0,73.0,154.0,190.0,113.0,102.0,159.0,110.0,,1116.0,1170.0,,150.0,1143.0,1110.0,1339.98876953125,124.0,,,182.0,1191.0,
2485/52.0000mz/10.53min,153.0,73.0,158.0,198.0,113.0,97.0,164.0,110.0,,1116.0,1169.98583984375,,150.0,1143.0,1110.0,1340.0,129.0,,254.0,,1191.0,
2639/52.0000mz/10.77min,241.0,185.0,175.0,327.0,174.0,105.0,334.0,202.0,345.9964294433594,318.0,348.0,266.0,167.0,322.0,343.0,708.0,126.0,3673.0,316.0,172.0,351.0,818.0
3401/52.0000mz/14.34min,408.9976501464844,78.0,306.0,130.0,78.0,247.0,119.0,138.0,494.0,364.0,364.0,1775.0,105.0,378.0,418.0,407.0,234.0,,292.0,119.0,426.0,214.0
5086/52.0000mz/19.47min,126.0,90.0,90.0,127.0,63.0,84.0,94.0,114.0,119.0,212.0,194.0,166.0,118.0,206.0,230.0,255.0,325.9988098144531,566.0,119.0,169.0,244.0,324.0
5448/52.0000mz/20.56min,137.0,97.0,106.0,135.0,86.0,86.0,409.9966735839844,106.0,114.0,430.0,,170.0,103.0,356.0,415.0,439.0,2858.0,534.0,150.0,191.0,393.0,433.0
5834/52.0000mz/21.49min,92.0,71.0,118.0,122.0,90.0,76.0,191.0,,76.0,1100.0,1148.0,538.0,86.0,1066.0,1174.99072265625,1162.0,126.0,,233.0,166.0,1188.0,449.0
