"","AlignID","Factor","tmean","FoundIn","4_Blanco","11_QC","20_QC","26_QC","36_QC","44_QC","50_QC","15_2210","16_11665","22_13","23_16","24_08082204","25_22","30_08082205","32_07082201","33_51480","38_21","39_07082204","41_20","46_15","47_51467","48_51468"
"615",614,"Factor #614",14.0298,22,18.28174,3835,1994,1981,4085.071,1870,4079,26.1568,835,870,104.0685,20.48267,51,652.9565,148.6957,89.43597,44699,74.26087,90.58149,470.5275,20355,132.9857
"616",623,"Factor #623",14.12,22,11.032,867,873,754,837,816,800.8261,49.15435,33.62707,35.63441,36.37191,9.212635,34.52756,94.21244,11.33349,54.52557,44.23488,46.04576,94.0678,42.64189,81.26295,11.04909
"618",616,"Factor #616",14.1532,22,55.73913,2292,2045,1994,2252,2612,2333,711,2681,14533,3253,102.1321,47.82609,8529,859.5226,1663,1053,496.0247,1883,3887,3095,2600
"619",619,"Factor #619",14.1541,22,56.01421,2291.696,2044.913,2076.913,2252.435,2693.957,2333.087,714.2192,2280,14533.08,2156,89.21903,48.20132,5518,862.9739,1662.7,1134.297,496.0247,12447,3084,3095.672,2132
"620",617,"Factor #617",14.1595,22,50.00343,1871,1350,2077,1806,1912,2333,599,2699,2412,3153,102.1321,47.82609,8529,899.534,1662.7,741,496.0247,13871.3,3887,3095.672,5561
"621",618,"Factor #618",14.1809,22,83.46098,1314,1896.565,1609,2252.435,1243,829,655,1811,11828.71,2516,102.1321,212.5849,8529,983.4667,1662.7,1134.297,570.0688,13872,1342,2958.715,1063
"623",620,"Factor #620",14.1986,22,202.1304,1118.609,1058,857,987,1335,1133.565,428.2103,1330,4876.319,2861.375,100.306,317.913,3017.043,2636.424,1257.031,723.5142,822.8508,13665,1712.357,1014.104,1085.195
"627",627,"Factor #627",14.2709,22,57.30435,482.7391,660,647,639,649.6087,664,409.2742,720.5652,302.5217,21.58123,90.86957,92.30435,434.9762,192.6522,1157,379.7391,789.2174,1006.765,215.8696,262.2174,1056.158
"629",628,"Factor #628",14.3525,22,68.03545,2378,2480.61,2228.522,2678,2814,2898,2636,157.66,210.4871,87.50019,1634,125.402,422.6319,70.45798,22943,1605,5283,4281.044,116.1221,166.271,1787
"630",629,"Factor #629",14.3545,22,69.48848,2377.549,2524,1772,2678,2626,2898,2635.405,122.4646,150.0132,63.51055,1630.829,90.50332,143.7492,43.96757,22943,1604.652,5283,1974.275,27.61943,37.09618,1787.249
