"","AlignID","Factor","tmean","FoundIn","4_Blanco","11_QC","20_QC","26_QC","36_QC","44_QC","50_QC","15_2210","16_11665","22_13","23_16","24_08082204","25_22","30_08082205","32_07082201","33_51480","38_21","39_07082204","41_20","46_15","47_51467","48_51468"
"974",975,"Factor #975",24.5607,22,611.5074,6867,6259.618,4859.12,1434,14564,11180,317.4111,200.977,534,400.3425,141.752,218.1538,1037.584,143.7909,1500.454,279.3155,310.8952,187058.1,368.5937,519.6132,540
"975",974,"Factor #974",24.562,22,592,6867,6260,4857,6843,14564,11180,317.4111,222.3935,748,400.3425,141.752,218.1538,1025.098,143.7909,1482.654,279.3155,310.8952,187058.1,447.8518,502,697
"976",976,"Factor #976",24.6784,19,16.21398,468.2609,524,417.5521,591,492.3478,615,14.6976,28.6229,21.69206,0,0,0,603.1712,9.223961,60.40827,21.83079,8.47198,15588,41.91528,70.52211,22.7757
"979",979,"Factor #979",24.7826,19,0,563.4348,769,727,984,1089,1061,55.37033,99.43478,56.75861,36.46192,0,0,2251.391,58.34493,56.13428,90.26087,46.89124,1.474036,79.82609,87.22004,46.65217
"981",983,"Factor #983",24.9105,22,42.71863,655,748,658,1043,1002,1125.395,25.05696,23.93659,23.68844,16.21394,17.65899,25.73412,1452.639,57.55438,38.17207,90.56812,24.57973,194.9596,32.50175,10086.28,63.98631
"982",981,"Factor #981",24.9232,22,36.61254,994,1062,980,1087,1127,1125,14.80633,47.55506,91.02962,22.84985,17.18979,26.8932,2673.545,51.80776,74.60821,65.14095,28.17025,96.61513,30.95823,14697,33.03215
"984",982,"Factor #982",24.9323,22,39.11643,993.7042,1000,1012,775,939,1093,17.02237,51.27845,743.3286,22.95516,48.13043,22.52653,6815.301,51.98236,22.92352,571.2338,31.07613,100.6791,35.73136,10086.28,70.53368
"985",984,"Factor #984",24.943,22,17.5157,1086.826,1067,981,1094,1207,1090.261,18.92268,76.65413,2039,68.17391,34.61057,26.41971,7215.819,51.36043,93.82673,1480,60.065,78.07337,50.40827,1210.983,151.913
"987",989,"Factor #989",24.9768,20,11.2493,1259.522,1690,1079,3172.525,5565,2094,36.36486,42.54005,220.9626,0,0,14.54412,2233.692,33.71352,14.90545,130.6265,10.81797,305.2212,22.03158,32.84627,36.2969
"988",987,"Factor #987",24.9973,20,33.91601,1260,2304,2053,3173,5565,5353,36.34498,41.17391,25.67348,0,0,29.55999,233.6365,33.54005,39.46351,39.87925,27.57365,432.713,19.2549,29.32498,36.28521
"992",991,"Factor #991",25.0533,18,0,368.4348,602,591,757,906,900,17.35013,49.16413,54.41066,0,0,0,20807,18.69557,275.9143,36.2612,18.01222,55.0037,17.21526,66.52174,39.01905
"993",993,"Factor #993",25.1545,20,29.61785,1940.113,2165,1804,2655,2667,3037.971,44.39433,50.2709,2484.173,0,41.64116,0,38131.05,76.69212,164.2058,57.24942,78.7693,3496.306,1698.549,1975.522,92.69565
"994",996,"Factor #996",25.172,20,34.95078,2646.976,2165,2521.859,3625,3508,3547,49.9136,185.8662,2648.628,0,43.61256,0,42205.05,57.55832,133.3101,36.06052,72.35427,432.6485,694.8048,690.8332,29.22053
"995",994,"Factor #994",25.176,20,32.11311,2647,3159,2559,3798,3805,3608,59.99558,548.3755,3390.151,0,44.55892,0,42206,62.4918,158.1879,45.29104,91.31626,588.6845,829.5711,762.5886,32.96524
"996",995,"Factor #995",25.1782,20,29.51376,2647,2961.842,1986,3435.418,4038,3209,113.1842,1461.595,6995.722,0,120.4023,0,25315.48,156.5475,144.0147,57.56103,139.8631,1386.145,1421.545,1501.113,26.95174
"997",997,"Factor #997",25.1965,20,40.88668,949.239,932,760,893,888,814,232.6986,46.55307,13764.13,0,173.8573,0,14756.45,303.5407,48.83753,77.543,266.3222,688.0518,7492.626,8860.126,46.6616
"1001",1000,"Factor #1000",25.2572,20,0,1995,1678,2407,3033,2921,1931,47.69565,1483.834,157.6534,46.00267,32.74201,0,72119.72,26.92288,18072.54,81.38,43.9272,59.53519,687.8256,2808.023,21.92548
"1002",1001,"Factor #1001",25.2595,20,0,2225,2716.695,2288,3033,2920.736,2439,48.78719,1792.601,265.4473,37.56223,33.32832,0,71796,13.32649,21528.6,82.50116,44.22665,235.0759,310.046,2832.399,51.1825
"1004",1004,"Factor #1004",25.3311,18,0,20695,27727,23175,33569,33236,34576,54.34783,11.66985,2377.787,32.52174,0,0,278546,83.69565,12405.68,47.1319,0,1422.363,35.29842,2838.826,21.03599
"1011",1010,"Factor #1010",25.4088,17,0,1602,2046,1833,2101,2144,2206,0,488.0874,30.41399,0,32.3832,0,8678.43,41.57635,2510.783,21.43478,0,125.5659,14.95874,10.43478,26.50522
"1013",1011,"Factor #1011",25.4376,17,0,1263,1226,1416,1269,1169,2131.103,0,346.2724,30.22556,0,32.41109,0,18552.77,17.34728,816.6467,6.91059,0,2522.548,26.1963,21.64758,46.33695
"1014",1014,"Factor #1014",25.6436,21,0,1438,1743,1392,1706,1553.87,1813,42.87341,122.1614,48.34796,27.51882,20.21718,20.54628,41768.93,35.26676,140.2762,19.15886,20.97719,831.9352,3034.909,61.27751,102.3543
"1018",1018,"Factor #1018",25.7483,21,0,1578,2134,1767,2375,2711.995,2255,38.42563,98.44443,43.35485,46.73913,116.8261,58.6087,80100.48,14.18307,78.52656,150.3729,38.91206,3940.932,48.67416,43.27619,21.34975
"1019",1017,"Factor #1017",25.7512,21,0,1386,2157,1889,2375,2599,2546,37.74847,149.1546,38.87448,35.99135,119.1083,58.6087,80101,60.26156,79.9909,150.2833,44.0787,3909.173,75.49156,44.09706,27.24297
"1022",1021,"Factor #1021",25.7861,19,0,1849,2105,1849,2151,1994,2158,31.56474,63.69964,42.66252,0,24.99695,0,52599,42.10418,19.89579,28.46142,24.01604,314.2074,45.33895,49.09201,44.68497
"1023",1022,"Factor #1022",25.7982,19,0,1316,979,1655,1103,1994.043,1414,31.73523,63.13076,42.17432,0,18.26602,0,35046.88,24.22313,311.4888,29.27966,12.02442,298.4726,45.42728,49.10961,24.87941
"1025",1024,"Factor #1024",25.8371,19,0,846,737,619,1069,943,821.7485,44.15212,122.4348,99.94425,0,56.35226,0,13180,212,7507.63,125.2732,35.28719,47.04374,203.369,241.1789,54.11509
"1028",1027,"Factor #1027",25.9181,21,0,2185,2344,2340,2811,2928,2809,96.34783,122.6627,122.2391,18.48799,55.29442,45.21739,2235.315,74.93683,1251.203,56.96007,113.6087,62300.12,54.20267,83.70259,119.6522
"1029",1029,"Factor #1029",26.0212,20,0,907,1154,1009,1126,903,1377,24.82191,624.913,28.14437,11.16016,31.72251,0,44870.04,12.65977,74.60939,181.5412,67.5283,6648.695,148.9749,2112.023,43.64928
"1030",1030,"Factor #1030",26.0379,19,0,3268,4656.321,4275,5463,5982.12,6138,33.6964,224.4128,18.83094,26.24234,0,0,188711.9,37.43939,340.3913,53.07885,91.6087,18198.46,484.4783,50307.04,61.89658
"1031",1032,"Factor #1032",26.0483,20,0,3485,5016,4854.727,6282,6497.903,6666.705,17.72676,128.2235,165.4449,32.68113,32.99733,0,188713,24.17566,207.7256,167.3624,91.6087,121.0247,484.4783,1439.38,86.76302
"1032",1031,"Factor #1031",26.0495,19,0,3485,5016,4855,6282,6499,6667,18.97857,145.1986,64.10725,21.19567,0,0,188713,24.81657,229.7659,49.90314,68.81526,53.13533,547.3043,2533.927,88.99921
"1035",1035,"Factor #1035",26.3369,18,0,8393,8549,7356,8915,9029,8482,0,51.31944,88.38142,50.04348,0,0,600.5432,75.05783,1310.372,241.5314,30.27487,163153.4,35.23843,34.93123,40.57781
"1039",1037,"Factor #1037",26.3898,21,0,110887,111503,103229.1,116650.2,114446,120050,53.88485,55.85923,46.67563,38.78261,30.55958,44.86469,1564.979,157.002,308.6606,47.48656,32.77021,895722.7,58.17391,34.91304,97.98776
"1040",1040,"Factor #1040",26.4395,21,0,3073,2872.113,2632.697,3063,3345,3101,15.83244,459.4031,57.89858,32.44556,37.30121,34.87697,84392.14,62.31097,460.3297,100.1822,41.4627,31369.08,33.04897,57.18405,97.77687
"1041",1041,"Factor #1041",26.4598,22,25.37425,7862,8306,7506,8232,8149,7425,29.63978,86.09482,54.44473,38.44961,151.6554,33.63675,183499,165.2747,210.9561,212.2174,38.50392,4671.088,49.85581,37.14956,29.20253
"1044",1043,"Factor #1043",26.5355,22,185.913,985,1733,1653,1681.989,1977,1415.242,445.8806,637.554,1781,1391,1568,1126,2930.328,1716,1039,2417,1552,1199.351,2011,1288,2369
"1049",1049,"Factor #1049",26.7392,20,0,1444,1814,985,1617,2316,1306,50.78261,53.35786,35.01146,26.4025,52.34783,0,692.3736,27.83489,1540.16,21.35762,34.0911,48.26087,19.47056,27.50457,39.76364
"1051",1050,"Factor #1050",26.7522,20,0,1002,930,708,1422,2316,744,10.94349,56.14127,65.04071,21.95622,10.06779,0,3125.694,35.56523,14.07052,22.17431,34.25632,59.19667,20.85868,27.57392,41.64335
"1052",1052,"Factor #1052",26.8015,20,0,1143.652,1171,1217,1265,1245,1220,18.79411,62.82609,96.68527,40.44302,42.61489,0,39537.93,49.17593,115.8517,42.3913,32.55935,2907.446,51.57491,81.76195,53.32107
"1055",1053,"Factor #1053",26.8502,20,34.5361,2231,2234,1940,2200,2001,1764,17.53824,92.04985,81.02222,0,23.36549,0,6559.892,85.08898,23381.13,32.00256,23.42461,77534,77.48111,95.58949,37.84683
"1056",1056,"Factor #1056",26.9186,21,39.22511,2821,2958,2572,3049,2667.895,2924,47.03871,67.14122,63.86957,55.77367,44.08696,0,4546.589,54.49206,56768,30.21462,50.13552,22074.12,146.254,343.1882,61.94891
"1058",1058,"Factor #1058",26.9811,22,29.90789,2705,3038,2504,3231,3480,3504,32.93618,20.20854,57.36159,27.1635,28.20293,18.27429,75.41268,31.86379,5861.376,44.39975,29.88329,77902.27,26.58648,114.4434,17.60741
"1061",1060,"Factor #1060",27.0505,22,22.64249,126.0251,225.5695,17.67931,771.747,408.5268,783,49.45455,30.08985,360.7219,225.8419,83.01266,17.3984,98.22346,1390,140.1925,583,240.9419,517.4734,875,207.5525,391.6938
"1063",1063,"Factor #1063",27.097,22,30.59688,2072.282,2318,1978.43,2518.661,2777,1421,38.50569,21.979,30.66158,14.03278,36.27947,31.8866,50770,47.61654,225.9925,172.6409,39.10793,234.2268,97.8969,82.61159,82.76814
"1064",1062,"Factor #1062",27.0977,22,30.8742,2074,2314,1825,2494,2777,2653,28.1281,24.16034,32.12724,14.77676,36.5165,32.61652,40780.01,47.99683,252.4558,185.9369,23.67155,268.1146,98.56192,74.91708,58.03375
"1066",1066,"Factor #1066",27.1355,21,15.0992,774.6087,722,691,788,868.7826,786,8.214351,37.3231,40.91925,13.5451,0,11.37228,7890.897,16.27835,119.8714,47.05944,11.5517,56.84812,32.37691,48.1046,56.42205
"1068",1067,"Factor #1067",27.222,22,40.39149,2125,3199,2651,3647,3038,3448,38.05026,69.26081,28.09204,26.97557,42.07243,25.25088,82292.49,207.0984,27.3794,123.423,55.17714,135.9734,22.22918,52.99217,40.41007
"1073",1075,"Factor #1075",27.2811,22,49.41882,2011,2564,2191,2653,2328,1868,57.14381,35.25452,113.0091,32.31051,29.65031,28.23434,49825.96,232.3202,611.6539,42.53942,59.92406,453.0654,19.52866,64.44801,78.91067
"1077",1077,"Factor #1077",27.3305,22,37.01011,5894,5986,5187,5399,5179,4040,48.62088,59.23236,154.6166,62.86957,63.57319,30.13233,213920.1,47.21884,1645.112,100.7748,34.9477,199.8024,106.3916,143.5591,176.1679
"1079",1078,"Factor #1078",27.4736,21,53.62451,1641,1780,1537,1757,1994,1670,295.8261,536.0448,130.612,0,104.9911,79.75422,94874,692.3373,2799.013,195.1618,196.087,153.4296,225.8811,61.46427,686.8725
"1080",1080,"Factor #1080",27.518,20,0,2422,3240,3173,4076,4322,4238,251.4083,523.533,119.1545,0,37.13043,123.7453,112726.7,716.393,8698.391,161.116,195.0669,172.8399,291.7081,431.9186,777.8473
"1081",1081,"Factor #1081",27.5183,20,0,2421.522,3190,3173,4075.661,3120,4238,243.7709,386.4133,122.7481,0,34.5007,119.8915,112728,679.1094,7360.448,157.1873,189.0629,172.7154,239.9456,454.696,760.6561
"1082",1082,"Factor #1082",27.8441,22,43.19861,2088,2271,1950,2184,1843,1900,28.50035,408.949,59.48608,37.23863,65.91304,43.34783,85188,50.72772,209.2546,309.0435,31.17225,149.041,46.47532,49.58821,31.46261
"1085",1084,"Factor #1084",27.9767,21,0,3235,6384,4190,3713,1583,1331.104,324.9474,236.0548,244.7969,70.76431,43.39124,23.44248,5009.29,20.37753,73.17156,37.37632,28.27768,69.57474,22.78175,51.12965,35.18602
"1087",1087,"Factor #1087",28.1375,22,56.62863,823,994,842,928,646,698,33.16771,988.5473,52.84322,48.35957,39.9443,53.97906,4101.957,54.29042,58.90379,448.4004,48.12135,297.913,223.4592,1078.403,106.9776
"1092",1090,"Factor #1090",28.4032,22,48.84504,1011.777,1103,723,1278,1287.237,1235,34.43965,40.47482,29.39543,26.87487,19.38354,41.45468,3429.365,53.29683,1496.097,169.2637,397.9158,157.7365,1266.155,393.5692,322.6242
"1094",1092,"Factor #1092",28.4393,22,89.45538,19518,17150,16062,18051,21241,19743,64.02383,72.5175,73.21532,21.87167,32.54041,38.82277,4103.554,103.8157,220.1826,264.0305,1050.975,891.7499,2868.834,1443.228,772.8012
"1099",1099,"Factor #1099",28.6723,20,0,1245.287,2096,1786,2576.876,3265,3084.715,25.86034,15.78734,36.31746,0,16.9758,38.43358,64582,25.13816,113.9576,30.41154,27.71677,78.14498,18.32312,181.8516,22.71324
"1100",1098,"Factor #1098",28.6785,20,0,1245,2096,1825,2577,3265,3080,36.97857,48.85247,49.50178,0,26.7444,41.57072,64582,33.92553,80.3913,19.45182,37.56842,111.0832,18.72119,235.1311,26.82669
"1109",1108,"Factor #1108",29.0014,18,0,826,1438,1179,1759,2300,2142,33.5313,40.63116,45.04348,17.71292,0,0,47282,15.94924,225.9938,11.15723,0,301.1892,3847.021,98.28698,32.22039
"1110",1110,"Factor #1110",29.0241,17,0,568,797,908.0477,796,1375,1031.015,36.89143,17.35983,0,23.745,0,0,35808.87,14.86688,317.2874,10.74037,0,126.3119,3417.597,64.98586,22.41968
"1111",1111,"Factor #1111",29.1795,22,42.51343,4046,1906,1992,2109,2854,3160,25.1047,82.4589,69.95869,42.46374,26.26476,30.32671,4296.224,22.96782,122.0125,39.59382,47.91904,735.2362,130.4565,98.89988,166.6377
"1113",1112,"Factor #1112",29.1866,22,36.94855,4046.401,1906,1992,2112,2853.611,1040,22.0863,80.94657,19.88647,33.5156,24.28747,19.57085,3945.375,35.8089,60.80728,28.15511,22.61902,424.2693,100.1781,39.81353,120.5226
"1114",1116,"Factor #1116",29.2391,22,11.25509,575,785.7877,840.4824,568,955,697,20.13401,5.558699,12.99775,6.2524,6.670559,4.128569,33120.82,4.313943,5.512679,4.910876,9.75871,21.28566,48.22892,7.326907,43.99154
"1115",1114,"Factor #1114",29.2495,22,24.91821,606.3323,1107,961,1360,1768,1758,8.543227,22.61357,30.04978,32.30263,35.56337,31.76526,33121,18.6463,33.39653,19.43327,35.08339,60.85738,56.13043,25.20512,43.91007
"1116",1115,"Factor #1115",29.2627,22,7.265944,554,987,916,1312,1393.295,1305.407,12.31868,8.359905,18.12931,17.76536,8.218564,10.48006,3098.445,10.04787,24.22928,11.39185,13.00963,60.53637,16.05784,10.83767,43.85339
"1118",1117,"Factor #1117",29.3175,22,24.89539,1685,1790,1841,2391,4296,4309,18.37135,30.06888,24.13366,29.36327,24.13756,23.72677,20767,23.84973,180.583,40.15606,23.96011,572.2266,42.2332,28.45366,19.99596
"1119",1119,"Factor #1119",29.4508,19,0,1528,767,750,853.0037,968,1044,42.77406,45.73875,37.56713,35.79413,0,0,1709.269,87.03062,12461.87,51.68703,32.01371,1656.653,98.24608,489.1187,61.49812
"1120",1120,"Factor #1120",29.4805,19,0,314.6676,725,721,1276,1405,1427,15.93884,33.09562,15.19723,23.21778,0,0,9823,82.6878,2320.939,13.34031,31.0429,204.4594,33.5469,138.4004,12.31559
"1124",1124,"Factor #1124",29.8152,21,0,3589,3205,3091,3723,4069,4423,84.67528,127.0744,92.82011,31.55022,138.7337,53.72008,124446,79.83821,10745.92,137.716,72.36568,460.9541,154.6928,59.89608,65.81225
"1126",1125,"Factor #1125",29.8421,21,0,1228.018,1275,1294.074,1539,2125,2208,54.95192,195.7465,60.84963,54.94622,99.37378,62.51324,59834.66,108.6947,26926.39,50.44693,67.90467,28.53923,67.42252,50.5381,58.74184
"1127",1131,"Factor #1131",29.9141,22,168.2807,58342,66279.15,51202.04,81522,104099.6,88446,120.4235,63.79238,434.3121,91.05158,38.69749,14.63014,31020.77,1661,30767,333.9984,442.5152,26555.34,409.7747,338.8696,201.4723
"1128",1127,"Factor #1127",29.923,22,193.0199,58342,66279,50798,81522,103831,88446,106.4152,65.44628,434.3121,150.7472,41.67742,19.93052,52949.6,2089,30767,354.0418,442.5152,26556,376.9609,338.8696,201.4723
"1129",1129,"Factor #1129",29.97,22,238.6319,1761,3013,2052,3301,4861,2974,120.4235,46.18948,434.3121,155.0595,43.12605,50.56522,167939,2121,1609,354.0418,442.5152,26555.34,409.7747,338.8696,163.2109
"1131",1128,"Factor #1128",29.9857,22,238.6319,1388,1432,1322,1368,2031,2133,100.4273,35.74904,434.3121,153.0632,46.92415,50.73623,167939.3,245.3381,2490.128,286.9984,442.5152,4990.392,409.7747,254.8261,119.3968
"1132",1130,"Factor #1130",29.9918,22,212.3275,1388.125,1622,1041,1635.325,2031,1848,100.4259,34.68179,403.3556,151.7078,46.99077,50.56522,167939.3,642.7869,2141.736,263.2185,411.5754,1749.444,514.3506,210.4348,82.03747
"1133",1132,"Factor #1132",29.9948,22,238.6319,1086,2175,777,2025.064,7850.547,2048,107.9816,30.15931,314.4018,153.106,43.26839,50.56522,120800.6,622.724,2141.736,307.8603,419.5018,1778.171,91.69917,97.16005,28.37306
"1136",1135,"Factor #1135",30.0693,22,34.02034,1647,1918,1618,2760,2217,2228,77.65217,180.4655,168.7391,45.97973,67.30435,78.73913,3626.194,96.13043,45319,428.9565,131.0435,356.4534,139.3478,107.4177,114.5217
"1137",1136,"Factor #1136",30.0709,22,33.97043,1646.893,2022,1634,2628,1983,2228,77.65217,180.1765,168.7391,46.80419,67.30435,78.73913,1411.021,96.13043,45319,428.9565,131.0435,355.6522,139.3478,106.8896,121.8261
"1138",1137,"Factor #1137",30.0889,22,9.805557,983.3056,888,803,1296,1374.694,1150,71.9354,179.5349,168.7391,50.36844,74.28833,78.73913,12899.68,91.24396,12822.19,369.4348,126.9717,355.6522,179.9373,137.2031,127.4352
"1141",1140,"Factor #1140",30.1943,21,50.35468,3352,3386,3341,3498,3820.756,3759,47.04348,55.33339,43.43692,41.43478,37.74375,0,7307.933,31.78077,6113.554,208.8682,65.55691,75959,48.33935,284.1972,35.44167
"1143",1142,"Factor #1142",30.3034,22,26.95791,539,715.4171,545,1707.633,708,692,106.9811,155.0958,78.22279,26.07571,12465.23,666.0659,20801,43.38824,538.9775,70.23803,5645.151,1620.037,126.7696,377.0476,50.69672
"1145",1147,"Factor #1147",30.3514,22,172.2361,2190,2467,2128,2343,2669,2449,482.6356,611.7552,324.749,234.8908,15629,837,15853.15,292.9409,431.4524,375.7389,7640,11949,417.7803,582.3312,270.9972
"1146",1145,"Factor #1145",30.3548,22,489.9952,2143.815,1737.609,1374.738,1441.484,1612.299,1222.707,1141,1318,882,699,1998.867,539.1484,1158.781,522,1462,899,1441.146,2902.735,718,809.8608,1046
"1147",1146,"Factor #1146",30.3593,22,446.9082,2168.027,1750.328,1380.498,1451.087,1621.274,1254.665,1016,1378,865,617,1347.999,547.3482,1193.534,521.715,790,813,983.0204,2694.947,718.6477,815.6497,835
"1151",1151,"Factor #1151",30.5035,20,119.1805,8690,9374,7235,10558,12044,11297,53.39436,37.61584,105.3478,0,178.5761,27.59181,4987.943,312.9629,2004,118.6957,194.0182,1694.531,115.6957,48.42494,0
"1152",1152,"Factor #1152",30.5082,20,119.1805,8784,9374,7235,5502,1465,11297,53.65531,31.36729,105.3478,0,280.8677,27.25711,6307.986,312.9629,1161,118.6957,203.705,1437.669,115.6957,99.81769,0
"1154",1153,"Factor #1153",30.5421,21,33.37447,591,666,730,932,3853.351,873,104.9018,66.26956,105.3478,0,2387.483,180.2161,8381.888,312.9629,1619.249,118.6957,1865.931,1314.587,140.8182,48.10785,53.26087
"1155",1157,"Factor #1157",30.5619,21,8.745194,1294.174,1323.133,585,678,671,790,588.8362,172.8919,13.59842,0,10081.49,589.4821,2910.36,52.93676,212.1885,9.192248,4587.271,11061.74,363.9912,297.3043,44.56522
"1156",1156,"Factor #1156",30.58,21,16.01015,1024,1527.046,1093,1620,1538,1268,588.8362,172.8919,47.7119,0,10879.36,589.4821,2749.548,54.49475,124.5642,15.24841,5475.923,10624,363.9912,297.3043,44.56522
"1157",1155,"Factor #1155",30.5838,21,24.91624,1381,1527,1368,1738,1753,1746,588.8362,165.4778,47.7119,0,10879,536.4088,2401.807,60.20272,4.901397,16.16348,5476,10589,363.9912,297.3043,46.3913
"1160",1158,"Factor #1158",30.6877,22,46.16303,647.1645,1077.084,959,1564,2134,2207,32.14143,21.28207,16.93392,20.34025,29.55938,5.8042,228.1462,15.79342,42.62274,343.0439,108.6502,176.9644,122.9796,40.49661,18.66472
"1161",1159,"Factor #1159",30.6905,22,13.16368,647.1645,1040,1030,1548,2134,2311,33.05973,40.04621,61.59806,26.45789,64.18892,43.13772,142.2315,34.14296,83.1144,235.2086,21.57152,925.1178,218.5071,32.09496,17.35461
"1163",1163,"Factor #1163",30.7395,22,575,4853,3508,2060.819,1652,1224.466,882.4259,1372.902,733,574.0752,429.0798,135.4543,158.0238,171.0802,198.6432,2889,416.6411,300.8594,11292,676.575,297.3913,282.1663
"1164",1162,"Factor #1162",30.7416,22,575.3371,4992,3508,2061,1777,1231,882,1372.902,1261,637,418.9739,97.321,157.7339,153.9137,198.6432,2917,494.8933,300.8594,11292,693.331,295.085,282.1663
"1165",1164,"Factor #1164",30.7473,22,575.3371,4992,3508.085,2060.819,1478,1176,859,1372.902,1260.573,637.1568,418.9739,96.4056,157.0505,660.801,198.6432,2889.123,381.4854,300.8594,11292.25,1199.363,297.0134,282.1663
"1166",1166,"Factor #1166",30.7582,22,575.3371,1645,2386.02,1359,1811.592,1231.049,882.4259,1372.902,1260.573,637.1568,429.0798,110.6069,155.8474,1069.997,198.6432,992,61.8006,300.8594,1414,479.4555,286.2898,303.9154
"1168",1168,"Factor #1168",30.8186,22,12.12194,1792,1903,1734,1983,1926,1935,14.82271,9.479992,26.0985,25.70227,32.61506,37.18586,1156.76,7.833539,41247,32.50208,36.37611,721.3917,51.33136,66.94094,24.30953
"1172",1170,"Factor #1170",30.9698,22,65.73913,857,724,677,812,1153,1097,55.19554,103.6676,1207.348,489.5217,52.98592,109.9882,56597.8,127.6087,741.5738,3956.261,121.913,294.6446,608.869,374.9343,82.80542
"1174",1173,"Factor #1173",31.0279,21,0,2907,2734,2468,2716,3274,3397,44.71121,231.451,73.15264,32.02217,41.44866,56.01038,102987,171.5586,40.66739,156.1099,58.48942,2838.398,360.0015,78.70882,165.4763
"1175",1174,"Factor #1174",31.0286,21,0,2555,2734,2468,2172,3273.64,3397,37.65494,180.3935,53.3674,27.98003,12.47888,33.7933,102986.5,127.8763,34.01021,308.1413,43.83181,2195.235,99.15217,52.73354,126.305
"1178",1180,"Factor #1180",31.1631,21,0,12119,12767,11460,14153,18422,15821,484.9158,411.3929,2205.631,492.3211,225.4171,30.78256,283394.5,1190.252,744.8944,17.48375,101.1265,403.9203,556.9232,43.15465,24.86557
"1179",1177,"Factor #1177",31.1633,21,0,2538.589,2454.888,2317.724,2668.177,2872.536,2768.759,3010,3272,14249,3628,1370,27.1586,2627.573,7372,473.2744,24.73303,667.8773,58.38899,54.69568,32.94176,24.04804
"1180",1178,"Factor #1178",31.164,21,0,2529.621,2689.27,2310.065,2712.991,2969.988,2865.418,639,3219.941,14249,1672,748,16.90375,3669.884,2960,396.2615,13.74852,667.8773,28.88475,60.47103,25.58471,16.71487
"1186",1185,"Factor #1185",31.3591,22,30.96397,5456,11022,9538,13541,19669,18273,71.4176,47.48663,109.9705,36.32448,41.97545,46.26661,338353.2,44.22523,752.4154,40.82307,52.06194,625.0853,49.53993,464.8292,81.15468
"1187",1186,"Factor #1186",31.363,22,23.54551,5456,11022,9538,13541,19669,18273,58.66835,45.13345,51.45133,25.67332,40.42153,57.70648,338353.2,52.81035,711.4054,30.09382,43.94748,568.759,43.96575,286.7937,57.55773
"1188",1188,"Factor #1188",31.4,22,18.6677,1081,928,923,2312,6448,16628.28,43.92243,43.18031,46.62683,22.70557,46.48063,51.45299,359220,55.53079,701.8239,53.56109,44.27981,2620.006,44.14514,318.1939,64.58319
"1190",1189,"Factor #1189",31.4184,22,41.97468,646,933.4294,713,839.6994,1217,837,35.79071,15.21157,48.9022,21.51145,28.31185,42.85404,23071.12,34.91785,303.0062,28.43611,28.54199,1319.064,27.85282,169.1698,33.59237
"1191",1191,"Factor #1191",31.4425,22,9.571557,732,852,1860.592,1133,1079.237,1117,21.97881,31.20308,32.91818,33.88033,29.09646,36.99576,19372.63,39.44835,243.3023,15.48759,10.76584,3422.251,28.19177,352.4129,25.01039
"1192",1192,"Factor #1192",31.4702,22,22.201,2815,3039,2775,3275,4035,3448,29.77673,24.6532,35.75115,36.37171,33.93655,71.47571,146405.1,64.04348,659.9728,263.5642,19.28736,5395.762,205.3658,875.1938,114.2895
"1196",1195,"Factor #1195",31.709,20,0,2831,2725,2484,3166,2938,3016,104.3755,36.94118,28.1307,0,46.07021,84.21352,6327.265,50.74296,59144,53.3913,41.20361,161.504,374.7855,45.33293,901.7768
"1197",1196,"Factor #1196",31.7168,20,0,2804,1475,1532,1846,1707,3016.221,13.18681,37.12674,28.19384,0,45.54082,44.76915,2262.982,36.87143,59144,59.52174,72.75727,162.2687,291.0077,43.57355,888.8783
"1201",1201,"Factor #1201",31.89,22,2687.556,12666,9494.839,5970.428,11463,6819,8016,3037.987,3478,10717,7421.728,6955,5784.919,18082,13456.62,8587,17587.74,1845,8008,11501.7,5812.834,3628
"1202",1200,"Factor #1200",31.8905,22,2688,12666,9495,5970,11463,6819,8016,3354,3478,10717,7695,6955,5785,18082.21,13457,8587,18782,8075,8008,11502,5813,4077
"1203",1203,"Factor #1203",31.905,22,2439.86,1430.98,878,1102.099,1728,879,578.0506,1365.987,925.2482,3749.456,2391.394,5640.804,3673.832,18082.21,3431.844,4264.769,5004,8049.659,6891.222,11501.7,2356.052,2045.775
"1207",1208,"Factor #1208",32.0518,22,39.00722,1272,1054,1239,800,1488.169,1395,59.22824,66.45132,79.505,34.09652,47.74928,33.17325,66515.45,77.39303,113.4814,47.7956,61.30806,186.4489,87.948,47.68543,80.34439
"1209",1207,"Factor #1207",32.0809,22,32.03706,1444,1254,1259,1368,1648,1523,19.18876,26.51057,33.88152,15.81445,33.13959,29.76124,66516,12.58626,145.212,24.70453,59.80296,33.65832,287.4235,59.28037,21.68987
"1211",1210,"Factor #1210",32.1311,22,28.83954,667.2238,768.808,480.2811,702,589,600,318.2669,410.8171,481.186,212.2461,309.3585,188.1797,686.8042,682,1492.93,227.8357,313.5901,1620.814,350.2363,895,159.6886
"1212",1211,"Factor #1211",32.1462,21,0,788,807,766,831,1097.065,990,624.3478,810.8243,1351,519,686,354.8696,1341.677,1066,1576.086,379.3478,574.8696,3228.39,558.1895,1405,577
